A_FECHA_NAC,A_PAIS,A_IDIOMA_NVL,P_PAIS,M_PAIS,P_EDAD,M_EDAD,P_TRABAJO,M_TRABAJO,P_ESTUDIOS,M_ESTUDIOS,VEHICULOS_FAMILIA,A_HERMANOS,A_RESIDENCIA,FAMILIARES_RESIDENCIA,ESO1_C_1EV,ESO1_C_2EV,ESO1_C_EVF,ESO1_EF_1EV,ESO1_EF_2EV,ESO1_EF_EVF,ESO1_I_1EV,ESO1_I_2EV,ESO1_I_EVF,ESO1_M_1EV,ESO1_M_2EV,ESO1_M_EVF,ESO1_MEDIA_1EV,ESO1_MEDIA_2EV,ESO1_MEDIA_EVF,ESO2_C_1EV,ESO2_C_2EV,ESO2_C_EVF,ESO2_EF_1EV,ESO2_EF_2EV,ESO2_EF_EVF,ESO2_I_1EV,ESO2_I_2EV,ESO2_I_EVF,ESO2_M_1EV,ESO2_M_2EV,ESO2_M_EVF,ESO2_MEDIA_1EV,ESO2_MEDIA_2EV,ESO2_MEDIA_EVF,FPB1_MEDIA_1EV,FPB1_MEDIA_2EV,FPB1_MEDIA_EVF,FPB1_P_1EV,FPB1_P_2EV,FPB1_P_EVF,FPB1_CA_1EV,FPB1_CA_2EV,FPB1_CA_EVF,FPB1_CS_1EV,FPB1_CS_2EV,FPB1_CS_EVF,REP_1ESO,REP_2ESO,REP_1FPB,REC_1EV,REC_2EV,REC_EVEX,PROMOCIONA
2008,ESPAÑA,2,OTRO_NO_EU,OTRO_NO_EU,40_49,40_49,DESCONOCIDO,AGRICULTURA,6,6,0,2,MADRE,4,5,4,7,3,4,5,4,4,6,5,5,5,5,5,5,4,6,6,7,5,7,3,4,5,3,4,3,6,6,6,3.3333,5.0,4.1667,4.0,4.0,4.0,6.0,7.0,6.0,4.0,4.0,3.0,0,0,0,2.0,1.0,4.0,N
2006,ESPAÑA,3,ESPAÑA,OTRO_NO_EU,40_49,30_39,SERVICIOS,DESCONOCIDO,5,4,2,1,AMBOS,2,4,4,5,4,5,5,4,4,5,4,4,5,4,4,5,4,4,4,5,5,5,4,4,5,4,3,3,4,4,5,6.75,2.0,5.0,7.0,1.0,5.0,5.0,3.0,5.0,7.0,3.0,6.0,0,0,0,0.0,2.0,0.0,S
2007,ESPAÑA,3,ESPAÑA,ESPAÑA,50_59,50_59,AGRICULTURA,NO_TRABAJA,4,6,1,1,AMBOS,4,2,2,5,6,7,7,3,2,4,3,4,6,4,5,6,3,3,5,5,2,5,3,2,3,2,2,2,5,4,5,3.0,3.6667,4.1667,3.0,3.0,3.0,5.0,7.0,5.0,4.0,4.0,5.0,0,1,1,4.0,2.0,6.0,N
2008,ECUADOR,3,OTRO_NO_EU,OTRO_NO_EU,40_49,30_39,SERVICIOS,SERVICIOS,6,7,0,5,MADRE,2,4,4,5,4,5,5,4,4,5,4,4,5,4,4,5,4,4,4,5,5,5,4,4,5,4,3,3,4,4,5,4.1667,5.5,4.0,6.0,5.0,4.0,6.0,8.0,5.0,5.0,4.0,3.0,0,0,0,1.0,0.0,2.0,N
2005,COLOMBIA,3,OTRO_NO_EU,OTRO_NO_EU,40_49,40_49,INDUSTRIA,SERVICIOS,3,3,0,1,MADRE,2,4,4,5,4,5,5,4,4,5,4,4,5,4,4,5,4,4,4,5,5,5,4,4,5,4,3,3,4,4,5,4.1667,6.0,5.1667,5.0,5.0,4.0,5.0,8.0,7.0,5.0,5.0,4.0,0,0,0,2.0,1.0,2.0,N
2006,ESPAÑA,2,OTRO_EU,OTRO_EU,40_49,40_49,TRANSPORTE,TRANSPORTE,6,6,2,2,ALTERNA,4,2,5,4,4,6,5,5,5,5,4,3,5,3,4,4,4,5,3,5,6,5,5,3,2,2,1,1,4,4,3,4.5,3.1667,4.5,4.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,1,1,0,2.0,1.0,6.0,N
2007,ESPAÑA,3,ESPAÑA,ESPAÑA,30_39,30_39,DESCONOCIDO,SERVICIOS,1,7,1,2,MADRE,5,5,4,5,2,4,6,4,5,6,3,3,2,4,5,5,1,5,4,5,5,6,6,6,5,2,1,1,4,4,4,7.3333,7.1667,6.6667,7.0,7.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,0,1,0,1.0,1.0,1.0,S
2006,CHINA,1,OTRO_NO_EU,OTRO_NO_EU,30_39,30_39,SERVICIOS,SERVICIOS,1,1,2,2,AMBOS,4,3,3,4,5,6,5,2,2,2,6,6,7,3,3,4,1,1,2,5,7,7,3,1,2,9,9,10,4,4,5,4.3333,5.3333,5.0,5.0,5.0,4.0,6.0,7.0,7.0,4.0,4.0,4.0,1,0,1,2.0,1.0,4.0,N
2007,MARRUECOS,2,OTRO_NO_EU,OTRO_NO_EU,50_59,40_49,NO_TRABAJA,NO_TRABAJA,2,1,2,2,AMBOS,4,4,4,5,4,5,5,4,4,5,4,4,5,4,4,5,3,4,4,5,5,5,2,5,5,3,2,5,4,4,5,4.5,6.3333,6.5,5.0,5.0,5.0,7.0,8.0,8.0,6.0,6.0,7.0,0,0,0,2.0,0.0,1.0,S
2006,ESPAÑA,3,ESPAÑA,ESPAÑA,50_59,50_59,SERVICIOS,AUTÓNOMA ,5,6,3,3,AMBOS,6,5,4,5,5,7,6,2,1,2,5,4,5,5,5,6,2,2,4,3,8,5,1,1,1,4,3,3,4,5,5,4.75,3.5,4.25,6.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0,0,0,0,0.0,0.0,2.0,S
2006,ESPAÑA,3,ESPAÑA,ESPAÑA,50_59,40_49,INDUSTRIA,NO_TRABAJA,4,4,3,1,ALTERNA,3,4,3,5,6,6,6,5,5,5,3,4,5,5,5,5,5,6,6,6,6,8,5,4,5,4,4,5,5,5,6,4.0,4.25,3.75,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,0,0,1,0.0,0.0,6.0,N
2007,ESPAÑA,3,ESPAÑA,ESPAÑA,40_49,40_49,SERVICIOS,NO_TRABAJA,4,7,3,2,ALTERNA,6,3,5,8,3,5,7,7,4,7,3,3,7,4,4,6,4,4,5,6,3,5,4,5,5,3,2,2,4,4,4,5.6667,5.6667,5.8333,6.0,6.0,6.0,5.0,7.0,6.0,6.0,4.0,6.0,0,0,0,1.0,0.0,2.0,S
2007,ESPAÑA,3,ESPAÑA,ESPAÑA,40_49,30_39,SERVICIOS,SERVICIOS,2,4,2,2,AMBOS,4,3,4,5,7,6,6,7,7,7,8,6,7,5,6,6,3,4,4,4,5,5,6,5,5,5,7,6,6,6,6,7.0,7.3333,7.3333,8.0,9.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,0,0,0,0.0,0.0,1.0,S
2007,ESPAÑA,3,ESPAÑA,ESPAÑA,50_59,50_59,INDUSTRIA,SERVICIOS,4,4,1,1,AMBOS,4,7,5,5,3,3,3,5,4,5,1,3,3,4,4,4,5,3,3,8,9,9,6,5,5,1,1,1,5,5,5,6.0,6.3333,5.6667,5.0,6.0,5.0,6.0,7.0,6.0,7.0,6.0,6.0,0,0,0,3.0,2.0,3.0,S
2007,ESPAÑA,3,ESPAÑA,ESPAÑA,50_59,40_49,TRANSPORTE,INDUSTRIA,4,4,2,1,AMBOS,5,3,2,3,5,5,5,7,5,6,6,5,7,5,4,5,4,4,4,6,6,7,3,6,4,6,3,3,4,5,5,7.1667,8.1667,7.5,8.0,10.0,9.0,7.0,9.0,8.0,7.0,6.0,6.0,1,0,0,1.0,0.0,0.0,S
2007,ESPAÑA,3,ESPAÑA,ESPAÑA,60+,50_59,NO_TRABAJA,NO_TRABAJA,4,4,1,3,AMBOS,4,3,1,2,6,6,6,4,4,5,7,4,5,4,4,5,5,3,5,7,7,7,5,6,6,4,4,3,5,5,6,5.0,5.8333,5.6667,5.0,5.0,6.0,5.0,8.0,6.0,5.0,5.0,6.0,1,0,0,1.0,2.0,3.0,S
2006,ESPAÑA,3,OTRO_NO_EU,ESPAÑA,30_39,30_39,INDUSTRIA,SERVICIOS,6,4,1,1,AMBOS,3,3,3,5,4,5,4,2,3,3,3,3,3,4,4,4,2,4,3,4,4,5,1,5,5,1,1,1,2,3,3,4.25,3.75,3.5,5.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,1,0,1,1.0,1.0,5.0,N
2005,RUMANIA,3,OTRO_EU,OTRO_EU,40_49,30_39,TRANSPORTE,NO_TRABAJA,6,6,1,1,AMBOS,4,4,4,5,4,5,5,4,4,5,4,4,5,4,4,5,4,4,4,5,5,5,4,4,5,4,3,3,4,4,5,6.0,6.5,6.1667,7.0,7.0,6.0,6.0,7.0,7.0,5.0,6.0,6.0,0,0,0,0.0,0.0,0.0,S
2006,ESPAÑA,3,ESPAÑA,OTRO_EU,40_49,50_59,NO_TRABAJA,NO_TRABAJA,4,4,1,1,MADRE,4,5,3,5,7,4,4,6,5,5,3,3,3,5,4,4,3,1,2,3,3,3,5,5,3,1,1,1,3,3,3,6.6667,7.3333,6.8333,8.0,8.0,8.0,6.0,8.0,7.0,6.0,6.0,6.0,1,1,0,2.0,1.0,3.0,S
